测点,X,Y,Z
580,-165,10,-886.5420998
581,-160,10,-887.9835405
582,-155,10,-888.8941712
583,-150,10,-888.7864959
584,-145,10,-888.1539447
585,-140,10,-887.388388
586,-135,10,-886.5895467
587,-130,10,-885.8184569
588,-125,10,-885.150101
589,-120,10,-884.6986225
590,-115,10,-884.5974735
591,-110,10,-884.9022467
592,-105,10,-885.5478425
593,-100,10,-886.4197531
594,-95,10,-887.4300862
595,-90,10,-888.5294793
596,-85,10,-889.6993142
597,-80,10,-890.9427736
598,-75,10,-892.2788719
599,-70,10,-893.740319
600,-65,10,-895.3741317
601,-60,10,-897.2423744
602,-55,10,-899.4130089
603,-50,10,-901.9317565
604,-45,10,-904.7448369
605,-40,10,-907.633708
606,-35,10,-910.3341106
607,-30,10,-912.6802287
608,-25,10,-914.6737335
609,-20,10,-916.4422688
610,-15,10,-918.1563727
611,-10,10,-919.9452258
612,-5,10,-921.8434071
613,0,10,-923.8177067
614,5,10,-925.812364
615,10,10,-927.7931564
616,15,10,-929.7676532
617,20,10,-931.7883454
618,25,10,-933.9517295
619,30,10,-936.3841598
620,35,10,-939.1895603
621,40,10,-942.3537918
622,45,10,-945.6696238
623,50,10,-948.7717008
624,55,10,-951.3380615
625,60,10,-953.3105856
626,65,10,-954.9075555
627,70,10,-956.3634517
628,75,10,-957.8128877
629,80,10,-959.3330423
630,85,10,-960.9480003
631,90,10,-962.6238851
632,95,10,-964.2899516
633,100,10,-965.8892903
634,105,10,-967.3968306
635,110,10,-968.8150421
636,115,10,-970.1829504
637,120,10,-971.5314345
638,125,10,-972.8500468
639,130,10,-974.1056431
640,135,10,-975.2928826
641,140,10,-976.415036
642,145,10,-977.4798153
643,150,10,-978.4994742
644,155,10,-979.5044344
645,160,10,-980.6003664
646,165,10,-981.862792
647,170,10,-983.1749319
648,175,10,-984.477041
649,180,10,-985.7551062
650,185,10,-987.0049636
651,190,10,-988.2244636
652,195,10,-989.4108441
653,200,10,-990.5578386
654,205,10,-991.6633647
655,210,10,-992.7326845
656,215,10,-993.767698
657,220,10,-994.7687616
658,225,10,-995.7359947
659,230,10,-996.6694773
660,235,10,-997.5690972
661,240,10,-998.4338613
662,245,10,-999.2589477
663,250,10,-1000.022708
664,255,10,-1000.690708
665,260,10,-1001.291928
666,265,10,-1001.855751
667,270,10,-1002.390843
668,275,10,-1002.900622
669,280,10,-1003.387187
670,285,10,-1003.852191
671,290,10,-1004.297081
672,295,10,-1004.723175
673,300,10,-1005.131686
674,305,10,-1005.523734
675,310,10,-1005.900343
676,315,10,-1006.262447
677,320,10,-1006.61089
678,325,10,-1006.946431
679,330,10,-1007.26975
680,335,10,-1007.581457
681,340,10,-1007.882102
